# instance	turn-cost	dist-cost	CC-or-T	ObjValue	Runtime(ms)
geom_100_0	1	0	CC	54.451	2677
geom_100_1	1	0	CC	57.8907	2433
geom_100_2	1	0	CC	53.5016	2667
geom_100_3	1	0	CC	55.853	2432
geom_100_4	1	0	CC	52.3064	2605
geom_100_5	1	0	CC	56.6659	2366
geom_100_6	1	0	CC	55.5687	2479
geom_100_7	1	0	CC	54.5669	2399
geom_100_8	1	0	CC	55.1933	2410
geom_100_9	1	0	CC	55.8654	2472
geom_150_0	1	0	CC	73.1529	5478
geom_150_1	1	0	CC	75.7151	6644
geom_150_2	1	0	CC	77.0044	6681
geom_150_3	1	0	CC	77.0589	6284
geom_150_4	1	0	CC	69.2044	6492
geom_150_5	1	0	CC	69.3057	6106
geom_150_6	1	0	CC	71.413	6458
geom_150_7	1	0	CC	73.363	7136
geom_150_8	1	0	CC	69.1339	6581
geom_150_9	1	0	CC	70.4332	6805
geom_200_0	1	0	CC	89.1987	10388
geom_200_1	1	0	CC	90.5655	10040
geom_200_2	1	0	CC	87.4046	9813
geom_200_3	1	0	CC	87.4013	11282
geom_200_4	1	0	CC	86.1321	11320
geom_200_5	1	0	CC	91.7773	10673
geom_200_6	1	0	CC	87.9312	10331
geom_200_7	1	0	CC	89.7096	12536
geom_200_8	1	0	CC	86.0027	9973
geom_200_9	1	0	CC	89.729	10502
geom_250_0	1	0	CC	101.295	16739
geom_250_1	1	0	CC	105.848	18261
geom_250_2	1	0	CC	104.751	19521
geom_250_3	1	0	CC	104.535	17684
geom_250_4	1	0	CC	102.512	17418
geom_250_5	1	0	CC	105.028	16774
geom_250_6	1	0	CC	106.228	17714
geom_250_7	1	0	CC	109.114	16240
geom_250_8	1	0	CC	109.021	16626
geom_250_9	1	0	CC	106.009	17256
geom_300_0	1	0	CC	125.461	26390
geom_300_1	1	0	CC	117.981	28145
geom_300_2	1	0	CC	119.703	28825
geom_300_3	1	0	CC	119.598	26389
geom_300_4	1	0	CC	119.16	30299
geom_300_5	1	0	CC	121.374	28329
geom_300_6	1	0	CC	124.899	28449
geom_300_7	1	0	CC	120.394	34741
geom_300_8	1	0	CC	118.674	26998
geom_300_9	1	0	CC	118.761	27403
geom_350_0	1	0	CC	137.604	47422
geom_350_1	1	0	CC	133.17	41450
geom_350_2	1	0	CC	131.512	37465
geom_350_3	1	0	CC	133.884	43672
geom_350_4	1	0	CC	140.783	38382
geom_350_5	1	0	CC	134.527	38584
geom_350_6	1	0	CC	126.937	39351
geom_350_7	1	0	CC	135.444	43469
geom_350_8	1	0	CC	136.633	44147
geom_350_9	1	0	CC	134.459	37724
geom_50_0	1	0	CC	33.7007	406
geom_50_1	1	0	CC	33.5184	477
geom_50_2	1	0	CC	32.4342	433
geom_50_3	1	0	CC	35.7864	452
geom_50_4	1	0	CC	33.2202	426
geom_50_5	1	0	CC	35.725	435
geom_50_6	1	0	CC	32.2525	453
geom_50_7	1	0	CC	36.4168	455
geom_50_8	1	0	CC	34.7475	466
geom_50_9	1	0	CC	33.5497	511
geom_100_0	1	0	T	67.0173	2664
geom_100_1	1	0	T	60.2827	2448
geom_100_2	1	0	T	59.7848	2672
geom_100_3	1	0	T	63.7575	2332
geom_100_4	1	0	T	53.7218	2569
geom_100_5	1	0	T	62.9491	2372
geom_100_6	1	0	T	57.1395	2473
geom_100_7	1	0	T	57.0293	2344
geom_100_8	1	0	T	57.7055	2417
geom_100_9	1	0	T	57.9548	2453
geom_150_0	1	0	T	75.0238	5444
geom_150_1	1	0	T	83.6644	6670
geom_150_2	1	0	T	84.073	6733
geom_150_3	1	0	T	77.0589	6115
geom_150_4	1	0	T	78.5483	6601
geom_150_5	1	0	T	75.5888	6035
geom_150_6	1	0	T	86.2927	6478
geom_150_7	1	0	T	88.6086	7105
geom_150_8	1	0	T	75.4171	6598
geom_150_9	1	0	T	70.4332	6789
geom_200_0	1	0	T	97.002	10441
geom_200_1	1	0	T	96.8487	10024
geom_200_2	1	0	T	89.1729	9812
geom_200_3	1	0	T	88.8716	11264
geom_200_4	1	0	T	94.2296	11210
geom_200_5	1	0	T	99.2162	10805
geom_200_6	1	0	T	94.9998	10427
geom_200_7	1	0	T	89.7096	12556
geom_200_8	1	0	T	87.1754	9902
geom_200_9	1	0	T	90.9487	10577
geom_250_0	1	0	T	113.861	16722
geom_250_1	1	0	T	112.131	18286
geom_250_2	1	0	T	111.035	19498
geom_250_3	1	0	T	104.535	17623
geom_250_4	1	0	T	111.151	17475
geom_250_5	1	0	T	105.028	16871
geom_250_6	1	0	T	119.741	17721
geom_250_7	1	0	T	109.114	16354
geom_250_8	1	0	T	112.472	16631
geom_250_9	1	0	T	114.973	17201
geom_300_0	1	0	T	134.1	26650
geom_300_1	1	0	T	127.043	28018
geom_300_2	1	0	T	125.986	28692
geom_300_3	1	0	T	122.209	26476
geom_300_4	1	0	T	121.62	30232
geom_300_5	1	0	T	127.657	27918
geom_300_6	1	0	T	131.182	28330
geom_300_7	1	0	T	126.677	34946
geom_300_8	1	0	T	121.815	27003
geom_300_9	1	0	T	121.551	27236
geom_350_0	1	0	T	144.373	47217
geom_350_1	1	0	T	133.17	41168
geom_350_2	1	0	T	132.82	38418
geom_350_3	1	0	T	133.884	43712
geom_350_4	1	0	T	148.714	38211
geom_350_5	1	0	T	147.093	38610
geom_350_6	1	0	T	133.221	39712
geom_350_7	1	0	T	154.293	43630
geom_350_8	1	0	T	150.974	44266
geom_350_9	1	0	T	140.742	37881
geom_50_0	1	0	T	33.7007	408
geom_50_1	1	0	T	39.8015	488
geom_50_2	1	0	T	32.4342	428
geom_50_3	1	0	T	35.7864	451
geom_50_4	1	0	T	45.7866	415
geom_50_5	1	0	T	35.725	428
geom_50_6	1	0	T	36.7579	471
geom_50_7	1	0	T	38.773	458
geom_50_8	1	0	T	37.8891	465
geom_50_9	1	0	T	33.5497	503
